1;Mojito; [lime, mint, kane syrup, dark rum, Soda water];1
2;Dark & stormy; [ginger beer, lime, dark rum];1
3;Mezcal mule; [ginger beer, lime, Mezcal];1
4;Mezcal paloma; [tequila, mezcal, grapefruit juice, lime, cane syrup, soda water 20cl];1
5;Margarita; [tequila, tripple sec, lime, zout, cane syrup 5cl];1
6;Virgin Mojito; [lime, mint, cane syrup, fresh ginger juice, soda water];0
7;Virgin Whisky cola; [fresh ginger juice, cola];0
8;Virgin mule; [ginger beer, lime, fresh ginger juice];0
9;Espresso tonic; [coffee, tonic];0
10;Virgin paloma; [fresh ginger juice, grapefruit juice, lime, cane syrup, soda water];0
11;Negroni;[gin, campari,vermout];1
12;Whisky Sour;[whisky, lime, cane syrup, egg white];1
